category,question,option1,option2,option3,option4,answer,difficult
Network Security,What does HTTPS stand for?,Hypertext Transfer Protocol Secure,Number used once in crypto,Securing Zigbee traffic,Extracting user and resource info,Hypertext Transfer Protocol Secure,medium
Network Security,What does TLS stand for?,File path manipulation,Protecting container workloads,Virtual firewall rules,Transport Layer Security,Transport Layer Security,medium
Network Security,What is the primary purpose of Firewall?,Inject code via heap,Evaluating security policies,Installs other malware,Filters network traffic based on rules,Filters network traffic based on rules,medium
Network Security,What does VPN stand for?,Virtual Private Network,Loading remote scripts,Secure Sockets Layer,Exploitation framework,Virtual Private Network,medium
Network Security,What is the primary purpose of Nmap?,Securing IoT messaging protocol,Infects the boot sector,Network scanning tool,Investigating smart device data,Network scanning tool,medium
Network Security,What does IDS stand for?,“Everyone’s doing it”),Intrusion Detection System,Open-source intelligence gathering,Unsafe library calls,Intrusion Detection System,medium
Network Security,What does IPS stand for?,Handling cloud credentials,Installs other malware,Top 10 IoT vulnerabilities,Intrusion Prevention System,Intrusion Prevention System,medium
Network Security,What does DNS stand for?,Infected online ads,Weak out-of-box passwords,Resolves domain names to IPs,Cross-Site Scripting,Resolves domain names to IPs,medium
Network Security,What does DMZ stand for?,Mapping Wi-Fi networks,Cracking encrypted drives,Protecting device access,Network segment exposed to untrusted networks,Network segment exposed to untrusted networks,medium
Network Security,What is the primary purpose of DDoS?,Overwhelming a host with traffic,Impersonating authority,HTTP header tampering,Port scanning tool,Overwhelming a host with traffic,medium
Network Security,What does NAT stand for?,Secure Sockets Layer,Issues digital certificates,Translates private IPs to public IPs,Infects the boot sector,Translates private IPs to public IPs,medium
Network Security,What does SCP stand for?,Secure file copy over SSH,Server-Side Request Forgery,Safe device onboarding,Creating bit-for-bit copies,Secure file copy over SSH,medium
Network Security,What does SNMP stand for?,Simple Network Management Protocol,Synthetic media deception,Hides malicious activities,"Never trust, always verify",Simple Network Management Protocol,medium
Network Security,What does OSI Layer 3 stand for?,Network layer of OSI model,Infects the boot sector,Highly customized scenario,Analyzing RAM contents,Network layer of OSI model,medium
Network Security,What does SSH stand for?,“Everyone’s doing it”),Tracing email origins,Secure shell for remote login,Role-Based Access Control,Secure shell for remote login,medium
Network Security,What does DHCP stand for?,Assigns dynamic IP addresses,Auto-logout timer,Platform as a Service,Protecting device access,Assigns dynamic IP addresses,medium
Network Security,What is the primary purpose of Wireshark?,Untrusted object replay,Analyzing RAM contents,Using relationships,Packet capture and analysis tool,Packet capture and analysis tool,medium
Network Security,What does SSL stand for?,Evaluating security policies,Secure Sockets Layer,Authorization framework,Accessing restricted files,Secure Sockets Layer,medium
Network Security,What does UDP stand for?,Key Management Service,Constrained Application Protocol,Random data added to hash inputs,User Datagram Protocol,User Datagram Protocol,medium
Network Security,What does ARP stand for?,Address Resolution Protocol,Reviewing cloud logs,Alters code on each infection,Security Operations Center,Address Resolution Protocol,medium
Network Security,What is the primary purpose of Phishing?,Tricking users to reveal data,Unreleased memory,Urgent deadlines,Key Management Service,Tricking users to reveal data,medium
Network Security,What is the primary purpose of Least Privilege?,Handling cloud credentials,Granting only necessary permissions,Authenticates message origin,Translates private IPs to public IPs,Granting only necessary permissions,medium
Network Security,What is the primary purpose of Segmentation?,Bypasses normal authentication,Targeted phishing attack,Dividing network into zones,Exploitation framework,Dividing network into zones,medium
Network Security,What does ACL stand for?,Secure shell for remote login,Highly customized scenario,X.509 certificate login,Access Control List for filtering,Access Control List for filtering,medium
Network Security,What does RSA stand for?,Records keystrokes,Reconstructing event order,Cross-Site Scripting,Asymmetric encryption algorithm,Asymmetric encryption algorithm,medium
Cryptography,What does AES stand for?,Advanced Encryption Standard,Reducing identified risks,Documenting evidence handling,Extracting user and resource info,Advanced Encryption Standard,medium
Cryptography,What does RSA stand for?,Rivest–Shamir–Adleman algorithm,Single Sign-On,Resolves domain names to IPs,Security Operations Center,Rivest–Shamir–Adleman algorithm,medium
Cryptography,What does ECC stand for?,Maps data to fixed length digest,Number used once in crypto,Probing targets for open ports,Elliptic Curve Cryptography,Elliptic Curve Cryptography,medium
Cryptography,What does SHA-256 stand for?,Unbreakable when used correctly,Cross-Site Scripting,Secure Hash Algorithm 256-bit,Pre-warning defenses,Secure Hash Algorithm 256-bit,medium
Cryptography,What does MD5 stand for?,Message Digest 5 hash,Handling cloud credentials,Constrained Application Protocol,Verifying device identity,Message Digest 5 hash,medium
Cryptography,What is the primary purpose of Diffie-Hellman?,Using relationships,Identifying vulnerabilities,Key exchange protocol,Patching device software,Key exchange protocol,medium
Cryptography,What is the primary purpose of Digital Signature?,Bypasses normal authentication,Testing memory boundaries,Spreads via document macros,Authenticates message origin,Authenticates message origin,medium
Cryptography,What is the primary purpose of Hash Function?,Exceeds memory buffer,Authenticates message origin,Maps data to fixed length digest,Advanced Encryption Standard,Maps data to fixed length digest,medium
Cryptography,What is the primary purpose of Symmetric Encryption?,Location-based control,Observing keystrokes,Locking server certs,Same key to encrypt/decrypt,Same key to encrypt/decrypt,medium
Cryptography,What is the primary purpose of Asymmetric Encryption?,Resolves domain names to IPs,Packet capture and analysis tool,Access Control List,Public/private key pair,Public/private key pair,medium
Cryptography,What is the primary purpose of Salt?,Secure Sockets Layer,Hiding data inside other data,Server-Side Request Forgery,Random data added to hash inputs,Random data added to hash inputs,medium
Cryptography,What is the primary purpose of Nonce?,Number used once in crypto,HTTP header tampering,Unreleased memory,Uncontrolled printf formats,Number used once in crypto,medium
Cryptography,What does PKI stand for?,Exploiting mental shortcuts,Secure Hash Algorithm 256-bit,Top 10 IoT vulnerabilities,Public Key Infrastructure,Public Key Infrastructure,medium
Cryptography,What does HMAC stand for?,Injecting SQL commands,Over-the-air patching,Location-based control,Hash-based Message Authentication Code,Hash-based Message Authentication Code,medium
Cryptography,What does PGP stand for?,Pretty Good Privacy,Offering false incentives,Standalone self-replicating malware,Translates private IPs to public IPs,Pretty Good Privacy,medium
Cryptography,What is the primary purpose of Public Key?,Securing IoT messaging protocol,Key that can be widely shared,Secure Hash Algorithm 256-bit,Simple Network Management Protocol,Key that can be widely shared,medium
Cryptography,What is the primary purpose of Private Key?,Translates private IPs to public IPs,Offering false incentives,Secret key kept by owner,Documenting findings,Secret key kept by owner,medium
Cryptography,What is the primary purpose of TLS Handshake?,Random input vulnerability test,"Never trust, always verify",Over-the-air patching,Negotiates encryption parameters,Negotiates encryption parameters,medium
Cryptography,What is the primary purpose of Block Cipher?,Encrypts fixed–size data blocks,Collecting data from running systems,Alters code on each infection,Impersonating authority,Encrypts fixed–size data blocks,medium
Cryptography,What is the primary purpose of Stream Cipher?,Encrypts data bit-by-bit,Cloud network segment,Protecting edge devices,Comprehensive security review,Encrypts data bit-by-bit,medium
Cryptography,What is the primary purpose of One-Time Pad?,Mining public profiles,Following authorized users,Testing for DB injection,Unbreakable when used correctly,Unbreakable when used correctly,medium
Cryptography,What is the primary purpose of Steganography?,Directory access protocol,Hiding data inside other data,Role-Based Access Control,Data Loss Prevention,Hiding data inside other data,medium
Cryptography,What is the primary purpose of Certificate Authority?,Inspecting file metadata,Offering service for info,Issues digital certificates,Resolves domain names to IPs,Issues digital certificates,medium
Cryptography,What does CRL stand for?,Posing as someone else,Temporary elevated rights,Certificate Revocation List,Dissecting malware code,Certificate Revocation List,medium
Cryptography,What is the primary purpose of Cryptanalysis?,Bluetooth Low-Energy safety,Breaking or analyzing ciphers,Encrypts fixed–size data blocks,Verifying device state,Breaking or analyzing ciphers,medium
Malware,What is the primary purpose of Virus?,Fake threat pop-ups,Self-replicating code attaching to programs,Analyzing RAM contents,Giving to get,Self-replicating code attaching to programs,medium
Malware,What is the primary purpose of Worm?,Standalone self-replicating malware,Reducing identified risks,Random input vulnerability test,Granting only necessary permissions,Standalone self-replicating malware,medium
Malware,What is the primary purpose of Trojan?,Malware disguised as legitimate software,Time-based access,“Everyone’s doing it”),Creating bit-for-bit copies,Malware disguised as legitimate software,medium
Malware,What is the primary purpose of Ransomware?,Gives attacker remote control,"Never trust, always verify",Reconstructing event order,Encrypts files for ransom,Encrypts files for ransom,medium
Malware,What is the primary purpose of Spyware?,Unchanged credentials,Gathers user data without consent,Restoring erased data,Windows registry investigation,Gathers user data without consent,medium
Malware,What is the primary purpose of Adware?,User Datagram Protocol,Displays unwanted advertisements,Unchanged credentials,Pre-warning defenses,Displays unwanted advertisements,medium
Malware,What is the primary purpose of Rootkit?,Number used once in crypto,Protecting stored data,Hides malicious activities,Tracing email origins,Hides malicious activities,medium
Malware,What is the primary purpose of Bootkit?,Infects the boot sector,Testing memory boundaries,Changes code to evade detection,Simulated phishing attack,Infects the boot sector,medium
Malware,What is the primary purpose of Logic Bomb?,Encrypts data bit-by-bit,Fingerprint or retina scan,Analyzing RAM contents,Triggers malicious action on condition,Triggers malicious action on condition,medium
Malware,What is the primary purpose of Keylogger?,Segregation of Duties,Restoring erased data,Identifying abnormal behavior,Records keystrokes,Records keystrokes,medium
Malware,What is the primary purpose of Polymorphic Malware?,Gathers user data without consent,Digitally signing firmware,Changes code to evade detection,Exploiting mental shortcuts,Changes code to evade detection,medium
Malware,What is the primary purpose of Macro Virus?,Encrypting IoT comms,Multi-Factor Authentication,Spreads via document macros,Key exchange protocol,Spreads via document macros,medium
