sender,subject,body,label
security@amaz0n.com,Claim Your Gift Card!,Unusual login detected. Verify your account now.,1
team@slack.com,Payment Received,Check out new commits and PRs in your repositories.,0
login@netflix-security.com,Suspicious Activity Detected,Your account has been locked. Click here to verify credentials.,1
service@netflix.com,Professional Network Updates,Read today's top stories curated for you.,0
newsletter@github.com,Weekly Repo Updates,Here's the summary from today's stand-up meeting.,0
security-alert@paypal.com,Invoice Overdue,Your account will be deactivated if you do not respond.,1
verify@facebook-alert.com,Invoice Overdue,Your account has been locked. Click here to verify credentials.,1
newsletter@github.com,Weekend Plans,Check out new commits and PRs in your repositories.,0
admin@bank-secure.com,Verify Your Account,Unpaid invoice detected. Login here to pay.,1
admin@bank-secure.com,Account Locked!,You've won a $100 gift card. Click to claim.,1
security@amaz0n.com,Account Locked!,We noticed unusual activity. Sign in to secure your account.,1
security-alert@paypal.com,Action Required Immediately,Your account will be deactivated if you do not respond.,1
receipt@paypal.com,Weekly Repo Updates,You have received $250 from Alice.,0
receipt@paypal.com,Professional Network Updates,Your next subscription payment is due on 30th Sep.,0
hr@company.com,Top Stories for You,"Hey, are we meeting this weekend for lunch?",0
login@netflix-security.com,Invoice Overdue,Unusual login detected. Verify your account now.,1
support@apple.com,Action Required Immediately,Your account will be deactivated if you do not respond.,1
receipt@paypal.com,Top Stories for You,Someone has endorsed your skills on LinkedIn.,0
alerts@linkedin.com,Top Stories for You,Your next subscription payment is due on 30th Sep.,0
security@amaz0n.com,Suspicious Activity Detected,Unusual login detected. Verify your account now.,1
support@apple.com,Urgent: Password Expiry,Please confirm your recent login to secure your account.,1
support@apple.com,Unauthorized Login Attempt,Your account will be deactivated if you do not respond.,1
newsletter@github.com,Policy Update,"Hey, are we meeting this weekend for lunch?",0
admin@bank-secure.com,Invoice Overdue,Your account has been locked. Click here to verify credentials.,1
newsletter@github.com,Top Stories for You,"Hey, are we meeting this weekend for lunch?",0
security@amaz0n.com,Claim Your Gift Card!,Your account has been locked. Click here to verify credentials.,1
support@apple.com,Claim Your Gift Card!,Your account will be deactivated if you do not respond.,1
reward@giftcard.com,Suspicious Activity Detected,Security alert: Someone tried to access your account from a new device.,1
service@netflix.com,Professional Network Updates,Read today's top stories curated for you.,0
